scorer,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000
bodyparts,Shoulder,Shoulder,Shoulder,Elbow,Elbow,Elbow,Wrist,Wrist,Wrist,Hand,Hand,Hand,Joystick,Joystick,Joystick
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
15,575.28857421875,164.32232666015625,0.9983687996864319,553.4481811523438,209.18295288085938,0.9993700385093689,610.7048950195312,256.89642333984375,0.9991368651390076,636.8761596679688,267.7518005371094,0.9964591860771179,630.5848388671875,290.4449768066406,0.9765051603317261
16,575.2998046875,164.24745178222656,0.9983422756195068,553.5128173828125,209.10260009765625,0.9993571639060974,610.7049560546875,256.8671875,0.9991317391395569,636.9864501953125,267.7820129394531,0.9963490962982178,630.7295532226562,290.4387512207031,0.9737952351570129
17,575.5210571289062,164.36752319335938,0.9982458353042603,553.58251953125,209.24302673339844,0.9993672966957092,611.0509033203125,256.72015380859375,0.9991181492805481,637.2295532226562,267.58929443359375,0.9964116215705872,629.3729248046875,289.681396484375,0.9641733765602112
18,575.5554809570312,164.31182861328125,0.9981860518455505,553.7379150390625,209.26754760742188,0.9993811845779419,611.572998046875,256.59979248046875,0.9991051554679871,637.41552734375,267.4390563964844,0.9966208934783936,629.7561645507812,289.5766906738281,0.9661254286766052
19,575.596923828125,164.35299682617188,0.9981881976127625,553.7383422851562,209.3015899658203,0.9993846416473389,611.5455322265625,256.576904296875,0.9990857839584351,637.4252319335938,267.4337463378906,0.996620774269104,629.77001953125,289.51861572265625,0.9669842720031738
20,575.535888671875,164.33563232421875,0.9982574582099915,553.7863159179688,209.3243865966797,0.999392032623291,611.4328002929688,256.60870361328125,0.9991002082824707,637.4207763671875,267.41656494140625,0.9966272711753845,629.77880859375,289.50946044921875,0.9677924513816833
21,575.5595092773438,164.43228149414062,0.9982370138168335,553.6150512695312,209.4353485107422,0.999404788017273,611.2522583007812,256.6991271972656,0.9991433620452881,637.3526611328125,267.4780578613281,0.9965729713439941,629.5071411132812,289.4435119628906,0.965481162071228
22,575.5026245117188,164.61898803710938,0.9983506202697754,553.60888671875,209.37887573242188,0.999404788017273,611.0545654296875,256.9416198730469,0.9992770552635193,637.0772094726562,267.7457275390625,0.9964948296546936,629.3643188476562,289.5469665527344,0.9585602283477783
23,575.4476928710938,164.70465087890625,0.9983567595481873,553.501220703125,209.39064025878906,0.9993870258331299,611.0049438476562,257.00103759765625,0.9992820620536804,636.9779663085938,267.7726135253906,0.9964674711227417,629.1469116210938,289.725830078125,0.9602922797203064
24,575.4071655273438,164.84030151367188,0.9983986020088196,553.3914794921875,209.41082763671875,0.9993959665298462,610.9603881835938,257.0418701171875,0.9992579817771912,636.9627685546875,267.7421875,0.9963746666908264,630.838134765625,290.66778564453125,0.9628203511238098
